,commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,devise,source,annee,mois,trimestre,jour_semaine,ville,region,segment,date_inscription,nom,categorie,fournisseur,tranche_montant,saison,est_annulee,ca_perdu,delai_inscription_commande
0,CMD-Q1-00001,CLI0496,PRD0081,1,49.36,49.36,2024-03-18,annulée,CB,Occitanie,EUR,Q1_2024,2024,3,1,Monday,Marseille,PACA,Particulier,2021-07-26,,,,<100€,printemps,True,49.36,966 days
1,CMD-Q1-00002,CLI0305,PRD0058,5,118.62,593.1,2024-01-23,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,Tuesday,Nantes,Nouvelle-Aquitaine,Startup,2023-03-31,Produit_Aud_58,Audio,TechPro,500-2000€,hiver,False,0.0,298 days
2,CMD-Q1-00003,CLI0044,PRD0128,7,99.94,699.5799999999999,2024-01-15,livrée,PayPal,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,Monday,Nantes,PACA,Particulier,2020-07-12,,,,500-2000€,hiver,False,0.0,1282 days
3,CMD-Q1-00004,CLI0381,PRD0061,8,75.83,606.64,2024-01-17,annulée,PayPal,PACA,EUR,Q1_2024,2024,1,1,Wednesday,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Aud_61,Audio,DataStore,500-2000€,hiver,True,606.64,375 days
4,CMD-Q1-00005,CLI0187,PRD0040,4,71.91,287.64,2024-03-20,en_cours,CB,Occitanie,EUR,Q1_2024,2024,3,1,Wednesday,Montpellier,Île-de-France,Particulier,2020-10-24,,,,100-500€,printemps,False,0.0,1243 days
5,CMD-Q1-00006,CLI0450,PRD0045,9,55.24,497.16,2024-01-08,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,1,1,Monday,Nantes,Auvergne-RA,Particulier,2023-06-29,,,,100-500€,hiver,False,0.0,193 days
6,CMD-Q1-00007,CLI0098,PRD0060,7,436.88,3058.16,2024-02-12,annulée,Virement,Auvergne-RA,EUR,Q1_2024,2024,2,1,Monday,Paris,Occitanie,Particulier,2021-12-10,,,,>2000€,hiver,True,3058.16,794 days
7,CMD-Q1-00008,CLI0112,PRD0006,9,79.23,713.07,2024-03-03,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Sunday,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_6,Informatique,ElecPlus,500-2000€,printemps,False,0.0,771 days
8,CMD-Q1-00009,CLI0193,PRD0022,3,235.27,705.8100000000001,2024-03-24,livrée,Virement,Occitanie,EUR,Q1_2024,2024,3,1,Sunday,Strasbourg,Occitanie,Grand Compte,2023-12-26,,,,500-2000€,printemps,False,0.0,89 days
9,CMD-Q1-00010,CLI0279,PRD0073,9,200.41,1803.69,2024-03-14,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,3,1,Thursday,Strasbourg,PACA,PME,2020-10-09,Produit_Aud_73,Audio,TechPro,500-2000€,printemps,False,0.0,1252 days
10,CMD-Q1-00011,CLI0094,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,Saturday,Lyon,Île-de-France,Particulier,2020-03-13,Produit_Aud_58,Audio,TechPro,500-2000€,hiver,False,0.0,1429 days
11,CMD-Q1-00012,CLI0121,PRD0076,2,211.08,422.16,2024-02-11,annulée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,Sunday,Montpellier,Nouvelle-Aquitaine,Particulier,2022-03-26,,,,100-500€,hiver,True,422.16,687 days
12,CMD-Q1-00013,CLI0474,PRD0130,4,186.38,745.52,2024-02-28,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Wednesday,Lille,Nouvelle-Aquitaine,Particulier,2020-04-25,Produit_Rés_130,Réseau,DataStore,500-2000€,hiver,False,0.0,1404 days
13,CMD-Q1-00014,CLI0208,PRD0090,5,80.66,403.29999999999995,2024-02-05,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Monday,Bordeaux,Auvergne-RA,Particulier,2021-07-14,Produit_Acc_90,Accessoires,TechPro,100-500€,hiver,False,0.0,936 days
14,CMD-Q1-00015,CLI0228,PRD0143,3,104.0,312.0,2024-02-16,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,Friday,Paris,Occitanie,Grand Compte,2023-05-08,Produit_Rés_143,Réseau,TechPro,100-500€,hiver,False,0.0,284 days
15,CMD-Q1-00016,CLI0224,PRD0150,2,81.48,162.96,2024-01-16,livrée,Chèque,Occitanie,EUR,Q1_2024,2024,1,1,Tuesday,Nice,Occitanie,Startup,2021-09-16,Produit_Rés_150,Réseau,MediaShop,100-500€,hiver,False,0.0,852 days
16,CMD-Q1-00017,CLI0231,PRD0073,4,200.41,801.64,2024-01-19,livrée,Chèque,Île-de-France,EUR,Q1_2024,2024,1,1,Friday,Marseille,PACA,Particulier,2022-02-11,Produit_Aud_73,Audio,TechPro,500-2000€,hiver,False,0.0,707 days
17,CMD-Q1-00018,CLI0477,PRD0068,6,12.48,74.88,2024-02-13,livrée,PayPal,Auvergne-RA,EUR,Q1_2024,2024,2,1,Tuesday,Nice,PACA,Startup,2023-12-08,Produit_Aud_68,Audio,TechPro,<100€,hiver,False,0.0,67 days
18,CMD-Q1-00019,CLI0181,PRD0095,3,106.83,320.49,2024-02-01,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,Thursday,Toulouse,Nouvelle-Aquitaine,Particulier,2020-02-12,Produit_Acc_95,Accessoires,MediaShop,100-500€,hiver,False,0.0,1450 days
19,CMD-Q1-00020,CLI0395,PRD0129,8,124.46,995.68,2024-03-25,en_cours,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,Monday,Nantes,Occitanie,Particulier,2020-05-16,,,,500-2000€,printemps,False,0.0,1409 days
20,CMD-Q1-00021,CLI0106,PRD0130,7,186.38,1304.6599999999999,2024-01-24,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,Wednesday,Bordeaux,Occitanie,Particulier,2021-04-21,Produit_Rés_130,Réseau,DataStore,500-2000€,hiver,False,0.0,1008 days
21,CMD-Q1-00022,CLI0144,PRD0049,2,65.78,131.56,2024-01-02,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,Tuesday,Nice,Auvergne-RA,Particulier,2022-09-20,Produit_Tél_49,Téléphonie,TechPro,100-500€,hiver,False,0.0,469 days
22,CMD-Q1-00023,CLI0185,PRD0022,5,235.27,1176.3500000000001,2024-03-24,en_cours,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,Sunday,Nice,Nouvelle-Aquitaine,Particulier,2020-01-02,,,,500-2000€,printemps,False,0.0,1543 days
23,CMD-Q1-00024,CLI0039,PRD0020,9,304.72,2742.4800000000005,2024-02-29,en_cours,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Thursday,Bordeaux,Auvergne-RA,Particulier,2023-10-24,Produit_Inf_20,Informatique,TechPro,>2000€,hiver,False,0.0,128 days
24,CMD-Q1-00025,CLI0359,PRD0125,4,31.95,127.8,2024-01-24,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,Wednesday,Lyon,Nouvelle-Aquitaine,PME,2020-02-22,Produit_Rés_125,Réseau,TechPro,100-500€,hiver,False,0.0,1432 days
25,CMD-Q1-00026,CLI0206,PRD0022,4,235.27,941.08,2024-03-20,retournée,Virement,Île-de-France,EUR,Q1_2024,2024,3,1,Wednesday,Lille,Île-de-France,Particulier,2022-04-14,,,,500-2000€,printemps,False,0.0,706 days
26,CMD-Q1-00027,CLI0104,PRD0149,5,123.18,615.9000000000001,2024-03-18,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,3,1,Monday,Lille,Occitanie,Particulier,2020-01-16,,,,500-2000€,printemps,False,0.0,1523 days
27,CMD-Q1-00028,CLI0495,PRD0054,9,124.37,1119.33,2024-02-13,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Tuesday,Nice,PACA,Startup,2021-12-09,Produit_Tél_54,Téléphonie,TechPro,500-2000€,hiver,False,0.0,796 days
28,CMD-Q1-00029,CLI0438,PRD0110,3,126.57,379.71,2024-03-02,livrée,Chèque,PACA,EUR,Q1_2024,2024,3,1,Saturday,Lyon,Occitanie,PME,2021-08-17,Produit_Sto_110,Stockage,ElecPlus,100-500€,printemps,False,0.0,928 days
29,CMD-Q1-00030,CLI0072,PRD0089,5,93.09,465.45000000000005,2024-01-01,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,Monday,Marseille,PACA,Particulier,2023-09-03,,,,100-500€,hiver,False,0.0,120 days
30,CMD-Q1-00031,CLI0058,PRD0127,3,63.31,189.93,2024-02-22,livrée,CB,Occitanie,EUR,Q1_2024,2024,2,1,Thursday,Paris,Occitanie,PME,2020-08-15,Produit_Rés_127,Réseau,MediaShop,100-500€,hiver,False,0.0,1286 days
31,CMD-Q1-00032,CLI0276,PRD0109,4,18.3,73.2,2024-03-13,en_cours,CB,PACA,EUR,Q1_2024,2024,3,1,Wednesday,Marseille,Occitanie,Startup,2021-05-18,,,,<100€,printemps,False,0.0,1030 days
32,CMD-Q1-00033,CLI0342,PRD0109,5,18.3,91.5,2024-02-12,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,Monday,Marseille,PACA,Particulier,2021-09-11,,,,<100€,hiver,False,0.0,884 days
33,CMD-Q1-00034,CLI0207,PRD0012,7,295.77,2070.39,2024-02-24,livrée,Virement,PACA,EUR,Q1_2024,2024,2,1,Saturday,Nice,Nouvelle-Aquitaine,Particulier,2020-09-18,Produit_Inf_12,Informatique,TechPro,>2000€,hiver,False,0.0,1254 days
34,CMD-Q1-00035,CLI0232,PRD0099,1,182.41,182.41,2024-03-12,livrée,Virement,PACA,EUR,Q1_2024,2024,3,1,Tuesday,Paris,Île-de-France,Startup,2021-04-07,Produit_Sto_99,Stockage,DataStore,100-500€,printemps,False,0.0,1070 days
